name,Label,Start,Stop,Duration,Mean_Intensity,Max_Intensity,Mean_Pitch,Max_Pitch,Min_Pitch,Median_Pitch,Center_spectrum,SD_spectrum,SK_spectrum,KUR__spectrum,F1_Mean,F2_Mean,F3_Mean,F4_Mean,F1_Max,F2_Max,F3_Max,F4_Max,F1_Min,F2_Min,F3_Min,F4_Min,F1_Median,F2_Median,F3_Median,F4_Median
AISF_LEC_T1,eCNA_T,0.32055747994582784,0.3879222695473088,0.06736478960148096,58.3404289913745,59.75029286651066,261.73652153491776,266.9901836601284,256.94469212654576,261.72142382016847,649.880357835365,779.8843226230497,3.83152470320777,20.667517277354946,568.9519144327633,2540.0455778584937,3259.8125236745072,4131.405115150663,592.460491815114,2619.3794150846716,3426.6926567700507,4379.35245379664,509.06115119707164,2392.0219235710574,3179.414554038654,3546.780981298337,576.2010631423236,2533.537327538981,3236.6092780451972,4176.500908090142
AISF_LEC_T1,CNBi_T,0.47549649602923405,0.5563342435510112,0.08083774752177719,58.24429602990173,59.20458570547981,278.7757988512523,286.37818340124295,244.49745980243435,279.7002052439034,326.3802295570831,209.60137442404374,19.469711110764436,751.2591702600951,430.1437938474665,2246.8239648490767,2948.1731642440045,4105.710903254889,500.6980748668858,3017.7342627573917,3294.1102644531447,4603.089144807266,302.1803426153539,748.8999618083857,2050.6106089886634,3056.393540220429,438.6784947592611,2505.2739566990185,3047.959507543784,4291.667124534344
AISF_LEC_T1,COSue_T,0.6439084700329365,0.7281144570347876,0.08420598700185111,57.530112116541076,58.99590154449449,318.9707737851921,321.52296719060604,309.15888015522205,319.1941961581946,516.4761497695301,239.98246660037657,16.196253924001873,934.0577311668663,562.1818918754361,1408.0057318257568,2867.8597393825003,3839.9622398780975,632.7312873066012,1626.6704923330453,3021.968902707446,4554.273229554762,328.7749473065963,1050.3350811165908,2739.8141436052742,3216.452843104078,608.0852922054285,1400.0778588456399,2885.8495627290404,3855.970802935866
AISF_LEC_T1,COSBCLo_A,0.8204536780674272,0.8878184676689083,0.06736478960148107,55.95861527492991,56.58649009944518,327.0516638905033,353.76419734448575,308.8452748102526,324.41657397068997,413.9688030859198,266.1162923863967,13.455787870885713,524.2239495929599,471.77465936731915,1283.9469726103039,2594.6452372796766,3385.957038335002,568.825790092738,1926.579373826997,2843.8871015366717,3489.2237914572606,351.8937078364412,1088.6495914660945,1979.6114667250263,3249.5021802731944,467.12663808927164,1168.8427621394494,2685.5891191106048,3402.161694680901
AISF_LEC_T1,CLa_T,1.201068828931864,1.2869589356737523,0.08589010674188824,59.195691970922574,59.588193054346974,237.44912397250303,241.385835744457,233.4668603503338,237.19601919639112,607.1813039152025,348.45879968096637,15.73013887717232,645.596352851826,724.3040482239078,1574.422576291674,2783.5356839911046,3978.6186054950176,824.8630379785799,2136.573406530199,3384.9507555547925,4559.8550056862,471.94013468137194,685.0907598014003,1989.1769910506382,3120.464205433531,745.9601930245287,1811.9977417986443,2945.936305361029,4155.031656565905
AISF_LEC_T1,COSBi_T,1.3256936896946039,1.3812696411158256,0.055575951421221736,59.141509531035304,61.46804222985067,242.9311533216278,247.17124579239075,235.959502713017,242.94886742277836,495.6536255488924,466.67037843909225,11.298930852929601,269.43821869850524,476.31753919421806,2626.2724241249193,3144.453086252017,4335.191269121249,497.3619062300023,2702.9512483012054,3205.0353846366083,4577.027463891448,459.8970997409851,2434.1536146770873,2945.8598568567927,4164.330100071132,473.62525998065007,2652.8144026566265,3172.690842655157,4364.222147438497
AISF_LEC_T1,COSDa_A,1.413267916176529,1.4671597478577139,0.05389183168118494,58.34343651431247,59.0053947011544,258.42676868715466,261.39571937465934,252.66330615749695,259.41602257289594,624.5737905846954,323.2310844514281,14.756833502458015,592.3015416324273,724.8798573857856,1791.0234422935018,3053.768293229345,4256.017981665137,772.751979572165,2017.9037519538444,3197.8014049078497,4507.813534796903,587.2701266721205,1285.0354890113495,2913.0779925634365,3919.4800306387356,748.3553176255358,1765.0179331572856,3069.8047615419446,4257.803744621099
AISF_LEC_T1,COBa_T,1.5631545730398242,1.618730524461046,0.055575951421221736,56.4712328628131,58.001198295900075,240.3557613957787,245.57895686163025,237.85461160916668,239.64270242781492,642.4698522018873,307.36594533568905,14.384308448106394,648.3644942888589,745.3806252277495,1302.789334127354,2651.5094897604195,3766.3051263328307,797.6107318405172,1775.9587093369935,3052.9232512634,4421.457446699074,654.2976427462906,1036.76021772873,1817.5871483644075,2707.336711408161,738.6333255552106,1259.3435427235092,2766.5932110881577,3945.950217084344
AISF_LEC_T1,CFAa_A,1.7012523917228601,1.761880702364193,0.06062831064133278,52.66880178386296,53.08776052367381,247.92495108441014,280.2634428644295,235.04700537899544,244.83792878295333,412.19221315301496,438.32487008591033,17.970033398931452,597.7360679980146,620.5166767290614,1577.5303230368509,3018.6651249287575,3859.697922479544,1034.7693006626805,2877.2316711598914,3947.714768028352,4998.052449281812,93.9885438576849,688.3183005805907,2306.2804175489996,3255.414679467161,580.9312600982962,1136.256595282414,3004.737041016173,3607.688434939603
AISF_LEC_T1,CNBui_T,1.83093370132178,1.9370332449441123,0.10609954362233243,55.675409619663405,56.34124512187932,231.35443989601254,238.71278578038542,225.08089528807187,230.83984399033895,313.95453384788567,268.97341985797465,36.403928452120155,2036.1862276378506,426.9665511712526,2028.780126396867,3023.4236040663977,4183.094426486521,471.8794135464059,2883.112906811341,3560.135679095357,4700.0996487245775,303.26499475130635,415.1012910346752,2372.213317304788,3316.968817737793,450.91129822267004,2358.1952086190067,3191.927027958021,4400.816511521602
